pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,782.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,787.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,794.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,796.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,792.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,784.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,780.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,780.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,785.44
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,793.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,795.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,791.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,783.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,780.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,780.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,785.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,792.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,796.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,791.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,783.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,780.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,780.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,785.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,792.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,796.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,791.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,783.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,779.1
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,780.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,784.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,792.54
